"Timestamp","Q1.What year of uni are you in?","Q2.Do you study a single or double degree?","Q3.Do you use public or private transport?","Q4.How long does it take to come to uni? (Enter the number of minutes, as a number only.)","Q5.Hours on facebook per week?(Enter a number only)","Q6.Hours on Twitter? (Enter a number only)","Q7.What is your favourite sport?","Q8.If you could have a super power what would it be?","Q9.What pets do you have?","Q10.Which day you need to attend the class?","Q11.I like cheese.","Q12.Have you been to the Australian Open?","Q13.Would you rather your shirts be always two sizes too big or one size too small?","Q14.How many books did you read last year?"
"2019/09/06 2:09:59 pm GMT+10","3","Single","Private","10","0.1","0","basketball fitness","have more super power","none","Monday;Tuesday;Wednesday;Thursday","TRUE","No","A.two sizes too big","A. 0"
"2019/09/06 2:10:01 pm GMT+10","2","Single","Public","6 minutes","0","0","Tennis","Smart","cat","Wednesday","FALSE","No","B.one size too small","C. 6-10"
"2019/09/06 2:10:11 pm GMT+10","2","Single","Public","6 minutes","0","0","Tennis","Smart","cat","Wednesday","FALSE","No","B.one size too small","C. 6-10"
"2019/09/06 2:10:30 pm GMT+10","Other","Single","Public","15","2","2","Jogging","Invulnerability ","none","Everyday is Sunday","TRUE","No","C.neither of these","C. 6-10"
"2019/09/06 2:10:46 pm GMT+10","4","Double","Private","0","3","0","Swimming","Fly","none","Monday;Tuesday;Thursday;Friday","TRUE","No","C.neither of these","B. 1-5"
"2019/09/06 2:10:59 pm GMT+10","4","Double","Public","80","40","0","E-sport","King of the world","dog;cat;rabbit;bird;reptile","Everyday is Sunday","TRUE","No","A.two sizes too big","E. more than 20"
"2019/09/06 2:11:12 pm GMT+10","Other","Single","Private","Five","1","0","Social","Fly","dog;reptile","Thursday;Friday","FALSE","No","B.one size too small","D. 10-20"
"2019/09/06 2:11:36 pm GMT+10","3","Single","Public","10min","0","0","gym","forecast","cat","Wednesday;Thursday","FALSE","No","A.two sizes too big","D. 10-20"
"2019/09/06 2:11:43 pm GMT+10","3","Single","Public","45","2","","Bouldering ","Fly","dog","Monday;Tuesday;Wednesday;Thursday","FALSE","No","C.neither of these","B. 1-5"
"2019/09/06 2:12:08 pm GMT+10","3","Single","Public","15","0.5","0","tennis","nothing","none","Monday;Tuesday;Wednesday;Thursday;Friday","TRUE","No","A.two sizes too big","C. 6-10"
"2019/09/06 2:12:31 pm GMT+10","3","Single","Public","20","10","0","Table tennis ","Read others’ mind ","none","Monday;Wednesday;Thursday","TRUE","No","C.neither of these","B. 1-5"
"2019/09/06 2:12:52 pm GMT+10","Other","Double","Public","15","5","0","tennis","Have magic ","cat","Monday;Wednesday;Thursday","TRUE","Yes","C.neither of these","B. 1-5"
"2019/09/06 2:13:06 pm GMT+10","4","Single","Private","4 hours","120","","Sleeping","Joker","cat;rabbit;bird","Everyday is Sunday","TRUE","No","B.one size too small","E. more than 20"
